korean,correct,correctkorean,question,solution,wrong
"잠깐 자리를 비워줄 수 있는지 물어볼 때","Would you mind stepping out for a moment?","잠깐 자리를 비워주시겠어요?","Would you mind (____) out for a moment?","stepping","staying"
"고객의 불만을 들어줄 수 있는지 물어볼 때","Would you mind listening to the customer's complaint?","고객의 불만을 들어주시겠어요?","Would you mind (____) to the customer's complaint?","listening","ignoring"
"내일까지 마감할 수 있는지 물어볼 때","Would you mind finishing by tomorrow?","내일까지 끝내주시겠어요?","Would you mind (____) by tomorrow?","finishing","starting"
"창문을 닫아줄 수 있는지 물어볼 때","Would you mind closing the window?","창문 좀 닫아주시겠어요?","Would you mind (____) the window?","closing","opening"
"문제를 해결해줄 수 있는지 물어볼 때","Would you mind solving this problem?","이 문제를 해결해주시겠어요?","Would you mind (____) this problem?","solving","creating"
"옷을 개어줄 수 있는지 물어볼 때","Do you mind folding the clothes?","옷을 개어주시겠어요?","Do you mind (____) the clothes?","folding","throwing"
"쓰레기를 버려줄 수 있는지 물어볼 때","Do you mind taking out the trash?","쓰레기 좀 버려주시겠어요?","Do you mind (____) out the trash?","taking","keeping"
"음식을 남기지 않을 수 있는지 물어볼 때","Would you mind not wasting the food?","음식을 남기지 말아주시겠어요?","Would you mind not (____) the food?","wasting","saving"
"조언을 줄 수 있는지 물어볼 때","Would you mind giving me some advice?","조언 좀 해주시겠어요?","Would you mind (____) me some advice?","giving","taking"
"차를 사용해도 되는지 물어볼 때","Would you mind if I use your car?","차를 사용해도 될까요?","Would you mind if I (____) your car?","use","take"
"책을 빌릴 수 있는지 물어볼 때","Do you mind if I borrow your book?","책을 빌려도 될까요?","Do you mind if I (____) your book?","borrow","keep"
"음악을 멈춰줄 수 있는지 물어볼 때","Would you mind stopping the music?","음악을 멈춰주시겠어요?","Would you mind (____) the music?","stopping","playing"
"주소를 알려줄 수 있는지 물어볼 때","Do you mind telling me your address?","주소를 알려주시겠어요?","Do you mind (____) me your address?","telling","hiding"
"잠깐 기다려줄 수 있는지 물어볼 때","Would you mind waiting a little longer?","잠깐 더 기다려주시겠어요?","Would you mind (____) a little longer?","waiting","leaving"
"의견을 묻는 것이 불편한지 물어볼 때","Do you mind if I ask your opinion?","의견을 물어봐도 될까요?","Do you mind if I (____) your opinion?","ask","tell"
