korean,correct,correctkorean,question,solution,wrong
"어떻게 친구를 사귈지 물어볼 때","How can I make new friends?","어떻게 새로운 친구를 사귈 수 있을까요?","How can I (____) new friends?","make","lose"
"어디에서 점심을 먹을지 물어볼 때","Where do you suggest I have lunch?","점심을 어디에서 먹는 것이 좋을까요?","Where do you (____) I have lunch?","suggest","avoid"
"무엇을 배우고 싶은지 물어볼 때","What do you want to learn next?","다음에 무엇을 배우고 싶나요?","What do you (____) to learn next?","want","ignore"
"어떤 차를 살지 물어볼 때","What car should I buy?","어떤 차를 사야 할까요?","What car should I (____)?","buy","rent"
"어떤 TV 쇼를 볼지 물어볼 때","What TV show do you recommend?","어떤 TV 쇼를 추천하시나요?","What TV show do you (____)?","recommend","skip"
"어떻게 스트레스를 줄일지 물어볼 때","How can I reduce stress?","어떻게 스트레스를 줄일 수 있을까요?","How can I (____) stress?","reduce","increase"
"어디서 물건을 살지 물어볼 때","Where should I buy groceries?","식료품을 어디서 사야 하나요?","Where should I (____) groceries?","buy","steal"
"어떻게 일을 처리할지 물어볼 때","How do you handle stress?","스트레스를 어떻게 관리하시나요?","How do you (____) stress?","handle","ignore"
"어떻게 돈을 절약할지 물어볼 때","How can I save money?","어떻게 돈을 절약할 수 있을까요?","How can I (____) money?","save","spend"
"어디서 운동할지 물어볼 때","Where do you recommend exercising?","어디서 운동하는 것이 좋을까요?","Where do you (____) exercising?","recommend","forbid"
"어떤 기술을 배울지 물어볼 때","What skills should I develop?","어떤 기술을 개발해야 하나요?","What skills should I (____)?","develop","ignore"
"어떻게 체력을 유지할지 물어볼 때","How can I maintain my fitness?","어떻게 체력을 유지할 수 있을까요?","How can I (____) my fitness?","maintain","ignore"
"어디서 공부할지 물어볼 때","Where should I study for exams?","시험 공부를 어디서 해야 하나요?","Where should I (____) for exams?","study","party"
"어떤 운동이 좋은지 물어볼 때","What exercise do you recommend for strength?","힘을 기르기 위해 어떤 운동을 추천하시나요?","What exercise do you (____) for strength?","recommend","avoid"
"어떻게 일을 효율적으로 할지 물어볼 때","How can I work more efficiently?","어떻게 일을 더 효율적으로 할 수 있을까요?","How can I (____) more efficiently?","work","procrastinate"
"어떤 책을 읽을지 물어볼 때","What book do you think I should read?","어떤 책을 읽어야 할까요?","What book do you think I should (____)?","read","avoid"
"어떻게 다이어트를 시작할지 물어볼 때","How should I start a diet?","다이어트를 어떻게 시작해야 하나요?","How should I (____) a diet?","start","end"
"어떻게 여가 시간을 보낼지 물어볼 때","What should I do in my free time?","여가 시간에 무엇을 해야 할까요?","What should I (____) in my free time?","do","waste"
"어떻게 목표를 이룰지 물어볼 때","How can I achieve my goals?","어떻게 목표를 이룰 수 있을까요?","How can I (____) my goals?","achieve","ignore"
"어떻게 건강을 유지할지 물어볼 때","What do you do to stay healthy?","건강을 유지하기 위해 무엇을 하시나요?","What do you (____) to stay healthy?","do","ignore"
"어떤 곳이 여행하기 좋은지 물어볼 때","Where do you recommend visiting?","어디를 방문하는 것을 추천하시나요?","Where do you (____) visiting?","recommend","avoid"
"어떤 차를 선택할지 물어볼 때","What car do you suggest for a family?","가족을 위해 어떤 차를 추천하시나요?","What car do you (____) for a family?","suggest","avoid"
"어떻게 시간을 관리할지 물어볼 때","How do you manage your time effectively?","시간을 어떻게 효과적으로 관리하시나요?","How do you (____) your time effectively?","manage","waste"
